             u1              u2              u3              u4             u5             u6              u7              y 
  2.6890035e-001  6.5089438e-001  8.3274183e-001  5.8342045e-001  7.8475930e-001  8.4307935e-001  8.2207920e-001  1.8029533e-001
  2.6848250e-001  6.5013964e-001  8.5215319e-001  5.7751002e-001  7.7648749e-001  8.3860539e-001  8.2207920e-001  1.7712402e-001
  2.6796671e-001  6.5965652e-001  8.2361800e-001  5.7159959e-001  7.6454632e-001  8.0787913e-001  7.8624615e-001  1.7361771e-001
  2.6745093e-001  6.6833758e-001  8.0837106e-001  5.6568943e-001  7.5260515e-001  7.9960565e-001  7.8624615e-001  1.7164039e-001
  2.6693514e-001  6.4719141e-001  7.6194846e-001  5.5977900e-001  7.4532558e-001  7.7312176e-001  7.4614159e-001  1.6697247e-001
  2.6641935e-001  6.3366494e-001  7.7462131e-001  5.5508364e-001  7.5605897e-001  8.1134063e-001  7.8637285e-001  1.6367888e-001
  2.6590356e-001  6.5401213e-001  7.7442026e-001  5.5176194e-001  7.6679367e-001  8.5166111e-001  8.2079480e-001  1.6024870e-001
  2.6538841e-001  6.7228673e-001  7.7399669e-001  5.4843996e-001  7.6124364e-001  8.0560537e-001  8.2207920e-001  1.5824240e-001
  2.6347663e-001  6.3933733e-001  7.6210002e-001  5.4511799e-001  7.5324913e-001  8.1117475e-001  7.8900240e-001  1.5704430e-001
  2.5270868e-001  6.6221558e-001  7.7037209e-001  5.4179601e-001  7.4525461e-001  8.1316370e-001  7.8900240e-001  1.5479179e-001
  2.4194074e-001  6.5263973e-001  7.5952555e-001  5.3847403e-001  7.2511523e-001  8.0074801e-001  7.8900240e-001  1.5476790e-001
  2.3117215e-001  6.2835812e-001  7.3648000e-001  5.3515206e-001  7.0319636e-001  7.7465534e-001  7.4215995e-001  1.5598922e-001
  2.2040421e-001  6.4368891e-001  6.7717660e-001  5.3183008e-001  6.8127749e-001  7.2846345e-001  7.2009428e-001  1.5584463e-001
  2.0963626e-001  6.2204892e-001  5.4615287e-001  5.2850811e-001  6.8163628e-001  7.2187691e-001  7.0129169e-001  1.5703897e-001
  2.0081381e-001  6.2629731e-001  3.9974908e-001  5.2518641e-001  6.8525832e-001  7.4914480e-001  7.1750639e-001  1.5915777e-001
  2.0464120e-001  6.6604385e-001  4.1583856e-001  5.2186443e-001  6.9710881e-001  8.0729856e-001  7.5426282e-001  1.6383627e-001
  2.0846859e-001  6.4667252e-001  3.9353121e-001  5.1854245e-001  7.1016445e-001  8.1203543e-001  7.9776931e-001  1.6700677e-001
  2.1229597e-001  6.4348843e-001  4.0741532e-001  5.1522048e-001  7.2322009e-001  7.8856079e-001  7.6860472e-001  1.7250859e-001
  1.6221304e-001  6.4801691e-001  4.0327008e-001  5.1189850e-001  7.3032224e-001  7.9221476e-001  7.7153628e-001  1.7834621e-001
  2.3296755e-001  6.5005561e-001  4.2117666e-001  5.0857652e-001  7.2738229e-001  7.9106145e-001  7.9391437e-001  1.8713385e-001
  2.3410343e-001  6.6856017e-001  4.2502993e-001  5.0525455e-001  7.2444102e-001  7.6578095e-001  7.6576342e-001  1.9605279e-001
  2.3523995e-001  6.3906609e-001  4.3341403e-001  5.0193257e-001  7.2150107e-001  7.7440339e-001  7.6640041e-001  2.0504501e-001
  2.3637582e-001  6.6292315e-001  4.2831267e-001  5.0167480e-001  7.1879111e-001  7.6979798e-001  7.5872178e-001  2.0952408e-001
  2.3751234e-001  6.3818162e-001  3.9763885e-001  5.0487964e-001  7.1698929e-001  7.5037322e-001  7.3341560e-001  2.1723898e-001
  2.3864822e-001  6.4491980e-001  4.2705382e-001  5.0808447e-001  7.1518878e-001  7.8046727e-001  7.6908724e-001  2.2518005e-001
  2.3978473e-001  6.6890363e-001  4.1247871e-001  5.1128958e-001  7.1338696e-001  7.9760105e-001  7.8425185e-001  2.3545468e-001
